K	0_1	3_1	4_1	5_1	5_2	6_1	6_2	6_3	3_1 # 3_1	3_1 # 3_1*	7_1	7_2	7_3	7_4
10_23	1	2	2	3	2	2	2	2	3	2-3	4	2	1	2
10_23*	1	2	2	2	1	2	2	2	2-3	2-3	2	2	3	2-3
10_24	2	2	2-3	2	1	2	2	2-3	2-3	2-3	2-3	2	3-4	2-4
10_24*	2	2-3	2-3	3-4	2-3	2-3	2-3	2-3	3-4	2-3	4-5	2-3	2	2
10_25	2	1	2-3	2	2	2	2	2	2	2	2	2	4	3-4
10_25*	2	3	2-3	4	3	2-3	3	2	4	2	5	3	2-3	2
10_26	1	2	1	2-3	2	2	2	2	2-3	2-3	3-4	2	2-3	2-3
10_26*	1	2	1	2-3	2	2	2	2	2-3	2-3	3-4	2	2-3	2-3
10_27	1	2	2	3	2	2	2	2	3	2	4	2	2-3	2
10_27*	1	1	2	2	2	2	1	2	2	2	2	2	3	2-3
10_28	2	2	2	2-3	2-3	2-3	2-3	1	2-3	2-3	3-4	2-3	2	1
10_28*	2	2	2	2	1	2-3	2-3	1	2-3	2-3	3	2	2-4	2-3
10_29	2	2	2	2-3	2-3	1	1	2-3	1-3	1-3	2-4	2-3	3-4	2-4
10_29*	2	2-3	2	3-4	2-3	2	2-3	2-3	3-4	1-3	4-5	2-3	2-4	2-3
10_30	1	2	2	2	1	2	1	2	2-3	2-3	2-3	2	3	2-3
10_30*	1	2	2	3	2	2	2	2	3	2-3	4	2	2	1
10_31	1	1	2	2	2	2	2	2	2	1-2	3	2	2	2
10_31*	1	2	2	2	1	2	2	2	2-3	1-2	3	2	2-3	2
10_32	1	1	2	2	2	2	2	1	2	1-2	3	2	2-3	2-3
10_32*	1	2	2	2-3	2	2	1	1	2-3	1-2	3-4	2	2-3	2
10_33	1	2	2	2-3	2	1	2	2	2-3	2-3	3-4	2	2-3	2-3
10_34	2	1	2-3	2	2	2-3	2	2	2	2	3	2-3	2	2
10_34*	2	2	2-3	2	1	2-3	2-3	2	2-3	2	3	1	2-3	2
10_35	2	2-3	1	2-4	2-3	2	2	2-3	2-4	2-4	3-5	2-3	2-4	2-4
10_35*	2	2-3	1	2-4	2-3	1	2	2-3	2-4	2-4	3-5	2-3	2-4	2-4
10_36	2	1	1	2	1	2	2	2	2	2	2-3	1	3-4	2-4
10_36*	2	2-3	1	3-4	2-3	2	2	2	3-4	2	4-5	2-3	2	2
10_37	2	2	2-3	2	1	2-3	2-3	2	2-3	2-3	3	2	2	2
10_38	2	2	2	2	1	1	1	2-3	2-3	2-3	2-3	2	3-4	2-4
10_38*	2	2-3	2	3-4	2-3	2	2-3	2-3	3-4	2-3	4-5	2-3	2	2
10_39	2	2	2	2	1	2	1	2-3	2-3	2-3	2	2	4	3-4
10_39*	2	3	2	4	3	2-3	3	2-3	4	2-3	5	3	2	2
10_40	2	2	2-3	3	2-3	2-3	2-3	1	3	2	4	2-3	2	2
10_40*	2	1	2-3	2	1	2-3	2	1	2	2	2	2	3-4	2-3
10_41	2	2	1	2-3	2	1	1	2-3	2-3	2-3	2-4	2	3-4	2-4
10_41*	2	2-3	1	3-4	2-3	2	2	2-3	3-4	2-3	4-5	2-3	2-3	2-3
10_42	1	2	1	2-3	2	1	1	1	2-3	1-3	3-4	2	2-3	2-3
10_42*	1	2	1	2-3	2	2	2	1	2-3	1-3	3-4	2	2-3	2-3
10_43	2	1	2	2	2	2-3	2	2	2	2	3	2	2-3	2
10_44	1	1	1	2	2	2	2	1	2	2	2-3	2	3	2-3
10_44*	1	2	1	3	2	2	2	1	3	2	4	2	2-3	2
10_45	2	2	1	2-3	2-3	1	1	2-3	2-3	2-3	3-4	2-3	2-4	2-3
3_1 # 7_1	4	3	4-5	2	3	4-5	3-4	4	2	4	1	3	6	5-6
3_1* # 7_1*	4	5	4-5	6	5	4-5	5	4	6	4	7	5	2	3
3_1 # 7_1*	2-4	3	2-5	4	3-4	2-5	3-4	2-4	4	2	5	3-5	1-2	2-3
3_1* # 7_1	2-4	1-3	2-5	2	1-3	2-5	1-4	2-4	1-4	2-4	1	1-3	4-5	3-4
3_1 # 7_2	2	1	2-3	1-2	1-2	2-3	1-2	2	1-2	2	1-3	1	4	3-4
