K	10_23	10_24	10_25	10_26	10_27	10_28	10_29	10_30	10_31	10_32	10_33	10_34		
10_23	0	2-3	3	2	2	1	2-3	2	2	2	2	2		
10_23*	2	2	2-3	2	2	2-3	2-3	2	2	2	2	2-3		
10_24	2-3	0	2	2-3	2-3	2-4	2	2	2-3	2-3	2-3	2-3		
10_24*	2	2-4	3-4	2	2-3	2	2-3	2-3	2	2-3	2-3	2		
10_25	3	2	0	2-3	3	2-3	2	2	2	2	2-3	2		
10_25*	2-3	3-4	4	2	2	2-3	3-4	3	2-3	2-3	2-3	2-3		
10_26	2	2-3	2-3	0	2	2-3	2	2	2	2	2	2-3		
10_26*	2	2	2	2	2	2-3	2-3	2	2	2	2	2-3		
10_27	2	2-3	3	2	0	2	2-3	2	2	2	2	2-3		
10_27*	2	2-3	2	2	2	2-3	2	2	2	2	2	2		
10_28	1	2-4	2-3	2-3	2	0	2-4	2-3	1	2	2	2		
10_28*	2-3	2	2-3	2-3	2-3	2	2-4	2	2	2	2	2-3		
10_29	2-3	2	2	2	2-3	2-4	0	2	2-3	2-3	2	2-3		
10_29*	2-3	2-3	3-4	2-3	2	2-4	2	2-3	2-3	2	2	2-4		
10_30	2	2	2	2	2	2-3	2	0	2	2	2	2-3		
10_30*	2	2-3	3	2	2	2	2-3	2	2	2	2	2		
10_31	2	2-3	2	2	2	1	2-3	2	0	2	2	2		
10_31*	2	2	2-3	2	2	2	2-3	2	2	2	2	2		
10_32	2	2-3	2	2	2	2	2-3	2	2	0	2	2		
10_32*	2	2-3	2-3	2	2	2	2	2	2	2	2	2-3		
10_33	2	2-3	2-3	2	2	2	2	2	2	2	0	2-3		
10_34	2	2-3	2	2-3	2-3	2	2-3	2-3	2	2	2-3	0		
10_34*	2-3	2	2-3	2-3	2	2-3	2-4	2	2	2-3	2-3	2		
10_35	2-3	2-3	2-4	2	2-3	2-3	2	2-3	2-3	2-3	2	2-4		
10_35*	2-3	2	2-3	2	2-3	2-3	2	2-3	2-3	2-3	2	2-4		
10_36	2-3	2	2	2	2-3	2-3	2-3	2	2	2	2-3	2		
10_36*	2	2-4	3-4	2	2	2	2-3	2-3	2	2-3	2-3	2		
10_37	2	2	2-3	2-3	2-3	2	2-4	2	2	2-3	2-3	1		
10_38	2-3	2	2	2-3	2-3	2-4	2	2	2-3	2	2	2-3		
10_38*	2	2-4	3-4	2-3	2	2	2-3	2-3	2	2	2	2		
10_39	3	2	2	2-3	3	2-4	2	2	2-3	2	2-3	2-3		
10_39*	2	3-4	4	2-3	2	2	3-4	3	2	2	2-3	2		
10_40	2	2-4	3	2-3	2	2	2-4	2-3	2	2	2-3	1		
10_40*	2-3	2	2	2-3	2-3	2	2-3	2	2	2	2-3	2		
10_41	2-3	2	2	2	2-3	2-3	2	2	2-3	2-3	2	2-3		
10_41*	2-3	2-3	3-4	2	2	2-3	2	2-3	2-3	2	2	2-3		
10_42	2	2-3	2-3	2	2	2	2	2	2	2	2	2-3		
10_42*	2	2-3	2-3	2	2	2	2-3	2	2	2	2	2-3		
10_43	2-3	2-3	2	2-3	2	2	2-3	2-3	2	2	2-3	1		
10_44	2	2-3	2	2	2	2	2-3	2	2	2	2	2		
10_44*	2	2-3	3	2	2	2	2-3	2	2	2	2	2-3		
10_45	2-3	2-3	2-3	2	2	2-3	2	2	2-3	2	2	2-3		
3_1 # 7_1	5	3-4	2-3	4-5	5	4-5	3-5	3-4	4	4	4-5	4		
3_1* # 7_1*	3	5-6	6	4-5	3	4	5-6	5	4	4-5	4-5	4		
3_1 # 7_1*	2-3	3-5	4	2-5	1-3	2-4	3-5	3-5	2-4	2-4	2-5	2-4		
3_1* # 7_1	3-5	2-4	2-3	2-5	3-4	2-5	2-5	2-4	2-4	2-4	2-5	2-4		
3_1 # 7_2	3	1-3	2	2-3	3	2-3	2-3	2-3	2	2	2-3	2		
