K	7_5	7_6	7_7	3_1 # 4_1	8_1	8_2	8_3	8_4	8_5	8_6	8_7	8_8	8_9	8_10	8_11
8_10	3	2-3	1-3	2-3	1-3	3	2-4	2-4	1-4	2-3	1-2	1-2	2-3	0	2-3
8_10*	1-2	1-2	1-3	1-3	1-3	1-2	2-4	1-4	3-4	1-3	2	1-2	2-3	2	1-2
8_11	2	2	2	2-3	1	1	2	2	3	2	2	2-3	2	2-3	0
8_11*	3	2	2	2-3	2	3	2	2	2	2-3	2	2	2	1-2	2
8_12	2-4	2	2	2	1	2-3	2	2	2-3	2	2-3	2-4	2-3	2-4	2
8_13	2	2	2	2	2	2-3	2-3	2	2-3	2-3	2	2	2	2	2
8_13*	2-3	2	2	2	2	2-3	2-3	2	2-3	2-3	1	2	2	2	2
8_14	2	2	2	2	2	1	2-3	2	3	2	2	2	2	2-3	2
8_14*	3	2	2	2	2	3	2-3	2	1-2	2-3	2	2	2	1-2	2
8_15	2	1-2	2-3	1-3	2-3	2	2-4	1-4	4	1-3	3	2-3	2-3	3-4	2
8_15*	4	3	2-3	3-4	2-3	4	2-4	3-4	1-2	3-4	1-2	2	2-3	1-2	3
8_16	2	1-2	1-2	1-2	1-3	2	1-3	1-2	3	1-2	2	2	2-3	2	1-2
8_16*	3	2	1-2	2	1-3	3	1-3	2	1-3	2-3	1-2	2	2-3	1-2	2-3
8_17	2	1-2	1-2	1-2	2	2	2-3	1-3	2	1-2	1-2	1-2	2	1-3	1-2
8_17*	2	1-2	1-2	1-2	2	2	2-3	1-2	2-3	1-2	1-2	1-2	2	1-3	1-2
8_18	2	1-2	1-2	1-2	2-3	2	2-4	1-3	2-3	1-2	1-2	2	2-3	1-3	1-3
8_18*	2	1-2	1-2	1-2	2-3	2	2-4	1-3	2-3	1-2	1-2	2	2-3	1-3	1-3
8_19	5	4	3	4-5	3-4	5	3-5	4-5	1-2	4-5	2	3	3-4	2	4
8_19*	1-2	2-3	3-4	2-3	3-4	1-2	3-5	2-4	5	2-3	4	3	3-4	4	2-3
8_20	2	1-2	1-2	2-3	1-2	2-3	1-3	1-3	2-3	1-3	1-2	2	1-2	1-2	1-2
8_20*	2-3	1-2	1-2	2-3	1-2	2-3	1-3	1-3	2-3	1-3	1-2	2	1-2	1-2	1-2
8_21	2-3	1-2	1-2	1-3	2	2	1-3	1-2	3	1-2	2	2-3	2	2-3	2
8_21*	3	2	1-2	2-3	2	3	1-3	2-3	1-2	2-3	1-2	2-3	2	1-3	2
3_1 # 5_1	2	2-3	3-4	2-3	3-4	2	3-5	2-4	5	2-3	4	3	3-4	4	2-3
3_1* # 5_1*	5	4	3	4-5	3-4	5	3-5	4-5	1-2	4-5	2	3	3-4	2	4
3_1 # 5_1*	3	2-3	1-3	2-3	2-4	3	2-5	2-4	1-4	2-3	2	2-3	2-4	2	2-4
3_1* # 5_1	2	1-3	1-3	1-3	2-4	2	2-5	1-4	3-4	2-3	2-3	2-3	2-4	2-4	2-3
3_1 # 5_2	2	1-2	2-3	2	2-3	2	2-4	1-3	4	1-2	3	2	2-3	3	2
3_1* # 5_2*	4	3	2	3-4	2-3	4	2-4	3-4	1-2	3-4	1-2	2	2-3	1-2	3
3_1 # 5_2*	2	2	1-3	2	2-3	2	1-4	2-3	2-4	2	2-3	2	1-3	1-2	2-3
3_1* # 5_2	2	2	1-2	2-3	2-3	2-3	1-4	2-4	2-3	2-3	2	2	1-3	1-3	2
4_1 # 4_1	2-4	2	2	1-2	2-3	2-3	2-3	2	2-3	2-3	2-3	1-4	1-3	2-4	2-3
9_1	2	3-4	4-5	3-4	4-5	2-3	4-6	3-5	6	3-4	5	4	4-5	5	3-4
9_1*	6	5	4	5-6	4-5	6	4-6	5-6	2-5	5-6	3	4	4-5	3	5
9_2	2	2	2	1-3	2	2-3	2-3	2-3	3	2-3	2	2-3	2	2-3	2
9_2*	3	2	2	2-3	2	3	2-3	2-3	1-3	2-3	2	2-3	2	2-3	2
9_3	5	4	3-4	4-5	3-4	5	3-5	4-5	1-5	4-5	2-3	3	3-4	2-3	4
9_3*	2	2-3	3-4	2-4	3-4	2-3	3-5	2-5	5	2-4	4	3-4	3-4	4-5	2-3
9_4	2	2	2-3	2-4	2-3	2-3	2-4	2-4	4	2-4	3	2-4	2-3	3-4	2-3
9_4*	4	3	2-3	3-4	2-3	4	2-4	3-4	1-4	3-4	2-3	2-3	2-3	1-3	3
9_5	3-4	2-3	2-3	2-4	2-3	3-4	2-4	2-4	1-4	2-4	2-3	2	2-3	1-2	2-3
9_5*	2	2	2-3	1-3	2-3	2-3	2-4	2-4	3-4	2-3	2-3	2-3	2-3	2-4	2
9_6	1	2-3	3-4	2-3	3-4	2	3-5	2-4	5	2-3	4	3	3-4	4	2-3
9_6*	5	4	3	4-5	3-4	5	3-5	4-5	2-4	4-5	2	3	3-4	2	4
9_7	1	2	2-3	2	2-3	2	2-4	2-3	4	2	3	2	2-3	3	2-3
9_7*	4	3	2	3-4	2-3	4	2-4	3-4	1-3	3-4	2	2	2-3	1-3	3
9_8	2	1	2	2	2-3	2	2	2	3	2	2-3	2	2-3	2-3	2-3
