K	3_1 # 5_2	3_1* # 5_2	4_1 # 4_1	9_1	9_2	9_3	9_4	9_5	9_6	9_7	9_8	9_9	9_10
4_1 # 5_1	2-3	2-3	2-3	2-3	1-4	5-6	2-3	3-5	2	2-3	2-3	2-3	4-6
4_1 # 5_1*	4-5	2-3	2-3	6-7	3-4	2-3	4-5	2-3	5-6	4-5	3	5-6	2-3
4_1 # 5_2	2	2	1-2	3-4	1-3	4-5	2-3	2-4	2-3	2-3	2	2-3	3-5
4_1 # 5_2*	3-4	2-3	1-2	5-6	2-3	2-3	3-4	1-2	4-5	3-4	2	4-5	2-3
10_1	2-3	1-3	2-3	4-5	2	3-4	2-3	2-3	3-4	2-3	2-3	3-4	2-4
10_1*	2-3	1-3	2-3	4-5	2	3-4	2-3	2-3	3-4	2-3	2-3	3-4	2-4
10_2	1-3	3	3-4	2	2-4	6	2-3	4-5	2	2-3	2-3	2	5-6
10_2*	5	3	3-4	7	4	2	5	2-3	6	5	4	6	2-3
10_3	2-4	2-4	1-4	4-6	2-3	3-5	2-4	2-4	3-5	2-4	2-3	3-5	2-5
10_3*	2-4	2-4	1-4	4-6	2-3	3-5	2-4	2-4	3-5	2-4	2-3	3-5	2-5
10_4	2-4	2-4	2-3	3-6	2-3	4-5	2-4	2-4	2-5	2-4	2	2-5	3-5
10_4*	3-4	2-4	2-3	5-6	2-3	2-5	3-4	2-4	4-5	3-4	2-3	4-5	2-5
10_5	4	2	2-4	6	3	2	4	2-3	5	4	3-4	5	2-3
10_5*	1-2	2-3	2-4	2	2-3	5	2-3	3-4	2	2	2	2	4-5
10_6	2-3	2-3	2-4	2-3	2-4	5-6	2-3	3-5	2	2-3	2-3	2-3	4-6
10_6*	4-5	2-3	2-4	6-7	3-4	2-3	4-5	2-3	5-6	4-5	3	5-6	2-3
10_7	2-3	1-3	2-3	3-4	2	4	2	2-3	2-3	2	2-3	2-3	3-4
10_7*	3	1-3	2-3	5	2	2-3	3	2	4	3	2-3	4	2-3
10_8	1-3	2-4	2-3	2-4	2-3	5	2-4	3-4	2-3	2-3	2-3	2-4	4-5
10_8*	4	2-3	2-3	6	3	2-4	4	2-4	5	4	3	5	2-4
10_9	3	2	2-3	5	2	2-4	3	2-3	4	3	2-3	4	2-3
10_9*	2	2-3	2-3	3-4	2	4	2-3	2-3	2-3	2	2	2-3	3-4
10_10	2-3	2-3	1-2	4-5	2	3	2-3	2	3-4	2-3	2	3-4	2-3
10_10*	2-3	2-3	1-2	4	2	3-4	2	2-3	3	2	2	3	2-4
10_11	2-3	1-4	2-3	3-5	2-4	4-6	2-5	2-5	2-4	2-3	2-3	2-4	3-6
10_11*	3-5	1-3	2-3	5-7	2-4	2-5	3-5	2-4	4-6	3-5	2-3	4-6	2-4
10_12	3	1-3	2-4	5	2-3	2	3-4	2-3	4	3	2-3	4	2
10_12*	2-3	1-3	2-4	3	2-3	4-5	2	2-4	2	2-3	2-3	2	3-4
10_13	2-4	2-4	2-3	4-6	2-3	3-5	2-4	2-4	3-5	2-4	2-3	3-5	2-5
10_13*	2-4	2-4	2-3	4-6	2-3	3-5	2-4	2-4	3-5	2-4	2	3-5	2-5
10_14	1-2	2-3	2-3	2-3	2-3	5	2	3-4	2	2	2	2	4-5
10_14*	4	2	2-3	6	3	2	4	2-3	5	4	3	5	2
10_15	3	1-3	2-4	5	2-3	2-3	3-4	2-3	4	3	2-3	4	2-3
10_15*	2-3	1-3	2-4	3	2-3	4	2-3	2-3	2	2-3	2-3	2-3	3-4
10_16	3-4	1-4	2-3	5-6	2-3	2-4	3-4	2-3	4-5	3-4	2	4-5	2-4
10_16*	2-3	1-3	2-3	3-5	2-3	4-5	2-4	2-4	2-4	2-4	2-3	2-4	3-5
10_17	2-3	1-3	2-3	4	2	3-4	2-3	2-3	3	2-3	2-3	3-4	2-4
10_18	1-3	2-3	1-2	3-5	2	4	2-3	2-3	2-4	2-3	2	2-4	3-4
10_18*	3	2-3	1-2	5	2	2-4	3	2-3	4	3	2	4	2-4
10_19	2	2-3	2	3-4	2-3	4	2-4	2-3	2-3	2	2	2-3	3-4
10_19*	3	2	2	5	2-3	2-4	3-4	2-3	4	3-4	2	4	2-3
10_20	2	2-3	1-4	3-4	2-3	4-5	2-4	2-4	2-3	2	2	2-3	3-5
10_20*	3-4	2	1-4	5-6	2-3	2-4	3-4	2-3	4-5	3-4	2-3	4-5	2-3
10_21	2	2	2-4	2-3	2-3	5	2	3-4	2-3	2-3	2-3	2	4-5
10_21*	4	2-3	2-4	6	3	2	4	2	5	4	3	5	2
10_22	2-4	2-3	2-3	4-6	2-3	3-5	2-4	2-4	3-5	2-4	2-3	3-5	2-4
10_22*	2-3	2-4	2-3	4-5	2-3	3-5	2-4	2-4	3-4	2-3	2-3	3-4	2-5
