K	0_1	3_1	4_1	5_1	5_2	6_1	6_2	6_3	3_1 # 3_1	3_1 # 3_1*	7_1	7_2	7_3	7_4
4_1 # 5_1	2-3	2	2	1	2	2-3	2-3	2-3	2-3	2-3	2	2-3	4-5	3-5
4_1 # 5_1*	2-3	3-4	2	4-5	3-4	2-3	3	2-3	4-5	2-3	5-6	3-4	2	1-3
4_1 # 5_2	2	1-2	1	1-2	1	2	2	1-3	2-3	2-3	2-3	2	3-4	2-4
4_1 # 5_2*	2	2-3	1	3-4	2-3	2	2	1-3	3-4	2-3	4-5	2-3	2	1-2
10_1	1	2	2	2-3	2	2	2	2	2-3	2-3	3-4	2	2-3	2-3
10_1*	1	2	2	2-3	2	2	2	2	2-3	2-3	3-4	2	2-3	2-3
10_2	3	2	3	1	2	3	2	3	2-3	3	1	2-3	5	4-5
10_2*	3	4	3	5	4	3-4	4	3	5	3	6	4	2	2-3
10_3	2	2-3	2-3	2-4	2-3	2	2-3	2-3	2-4	2-4	3-5	2-3	2-4	2-4
10_3*	2	2-3	2-3	2-4	2-3	2	2-3	2-3	2-4	2-4	3-5	2-3	2-4	2-4
10_4	2	2-3	2	2-4	2-3	2	2	2-3	1-4	1-4	2-5	2-3	3-4	2-4
10_4*	2	2-3	2	3-4	2-3	1	2	2-3	3-4	1-4	4-5	2-3	2-4	2-4
10_5	2	3	2-3	4	3	2-3	3	2	4	2	5	3	2	2
10_5*	2	1	2-3	1	2	2-3	2	2	1-2	2	1	2-3	4	3-4
10_6	2-3	2	2-3	1	2	2	2	2-3	2-3	2-3	2	2-3	4-5	3-5
10_6*	2-3	3-4	2-3	4-5	3-4	2-3	3-4	2-3	4-5	2-3	5-6	3-4	2	2-3
10_7	1	2	2	2-3	2	2	2	2	2-3	2-3	2-3	1	3	2-3
10_7*	1	2	2	3	2	2	2	2	3	2-3	4	2	2	2-3
10_8	2	2	2	2	2-3	2	1	2-3	2-3	2-3	2-3	2-3	4	3-4
10_8*	2	3	2	4	3	2	3	2-3	4	2-3	5	3	2-3	2-3
10_9	1	2	2	3	2	2	2	2	3	1-2	4	2	2-3	2
10_9*	1	1	2	2	2	2	2	2	1-2	1-2	2-3	2	3	2-3
10_10	1	2	1	2-3	2	2	2	2	2-3	1-3	3-4	2	2	2-3
10_10*	1	2	1	2-3	2	1	2	2	2-3	1-3	3	1	2-3	2-3
10_11	2-3	2	2	2-3	2-3	2	2	2-3	2-3	2-3	2-4	2-4	3-5	2-5
10_11*	2-3	2-4	2	3-5	2-4	2	2-3	2-3	3-5	2-3	4-6	2-4	2-4	2-3
10_12	2	2	2-3	3	2-3	2-3	2-3	2	3	2-3	4	2-3	1	2
10_12*	2	2	2-3	1	2	2-3	2-3	2	2-3	2-3	2	2	3-4	2-3
10_13	2	2-3	2	2-4	2-3	1	2	2-3	2-4	2-4	3-5	2-3	2-4	2-4
10_13*	2	2-3	2	2-4	2-3	2	2-3	2-3	2-4	2-4	3-5	2-3	2-4	2-4
10_14	2	1	2	1	2	2-3	2	2	1-2	2	2	2	4	3-4
10_14*	2	3	2	4	3	2-3	3	2	4	2	5	3	1	2
10_15	2	2	2-3	3	2	2-3	2-3	1	3	2-3	4	2-3	2	2-3
10_15*	2	2	2-3	1	2	2-3	2-3	1	2-3	2-3	2	2-3	3	2-3
10_16	2	2-3	2	3-4	2-3	2	2-3	2-3	3-4	2-4	4-5	2-3	2-3	2-3
10_16*	2	2-3	2	2-3	2	1	2	2-3	2-4	2-4	2-4	2-3	3-4	2-4
10_17	1	2	2	2	2	2	2	2	2-3	2-3	3	2	2-3	2-3
10_18	1	2	1	2-3	2	2	2	2	2-3	2-3	2-4	2	3	2-3
10_18*	1	2	1	3	2	1	2	2	3	2-3	4	2	2-3	2-3
10_19	2	1	1	2	2	2	1	2	2	2	2-3	2-3	3	2-3
10_19*	2	2-3	1	3	2	2	2	2	3-4	2	4	2-3	2-3	2
10_20	2	1	2-3	2	2	2	2	2	2	2	2-3	2-3	3-4	2-4
10_20*	2	2-3	2-3	3-4	2-3	2-3	2-3	2	3-4	2	4-5	2-3	2-3	2
10_21	2	2	2-3	2	1	2	2	2-3	2-3	2-3	2	2	4	3-4
10_21*	2	3	2-3	4	3	2-3	3	2-3	4	2-3	5	3	1	2
10_22	2	2-3	2	2-4	2-3	2-3	2	2-3	2-4	2-3	3-5	2-3	2-4	2-3
10_22*	2	2	2	2-3	2-3	2	1	2-3	2-3	2-3	3-4	2-3	2-4	2-4
