K	0_1	3_1	4_1	5_1	5_2	6_1	6_2	6_3	3_1 # 3_1	3_1 # 3_1*	7_1	7_2	7_3	7_4
3_1	1	0	2	1	1	2	1	1	1	1	2	2	3	2-3
3_1*	1	2	2	3	2	2	2	1	3	1	4	2	2	1
4_1	1	2	0	2-3	2	1	1	2	2-3	2-3	3-4	2	2-3	2-3
5_1	2	1	2-3	0	1	2-3	2	2	2	2	1	2	4	3-4
5_1*	2	3	2-3	4	3	2-3	3	2	4	2	5	3	1	2
5_2	1	1	2	1	0	2	2	2	2	2	2	1	3	2-3
5_2*	1	2	2	3	2	2	2	2	3	2	4	2	1	1
6_1	1	2	1	2-3	2	0	1	2	2-3	1-3	3-4	2	2-3	2-3
6_1*	1	2	1	2-3	2	1	2	2	2-3	1-3	3-4	2	2-3	2-3
6_2	1	1	1	2	2	1	0	2	2	2	2-3	2	3	2-3
6_2*	1	2	1	3	2	2	2	2	3	2	4	2	2-3	2
6_3	1	1	2	2	2	2	2	0	2	2	3	2	2-3	2
3_1 # 3_1	2	1	2-3	2	2	2-3	2	2	0	2	2-3	2-3	4	3-4
3_1* # 3_1*	2	3	2-3	4	3	2-3	3	2	4	2	5	3	2-3	2
3_1 # 3_1*	2	1	2-3	2	2	1-3	2	2	2	0	3	2-3	2-3	2
7_1	3	2	3-4	1	2	3-4	2-3	3	2-3	3	0	2	5	4-5
7_1*	3	4	3-4	5	4	3-4	4	3	5	3	6	4	1	2
7_2	1	2	2	2	1	2	2	2	2-3	2-3	2	0	3	2-3
7_2*	1	2	2	3	2	2	2	2	3	2-3	4	2	1	2
7_3	2	3	2-3	4	3	2-3	3	2-3	4	2-3	5	3	0	1
7_3*	2	2	2-3	1	1	2-3	2-3	2-3	2-3	2-3	1	1	4	3-4
7_4	2	2-3	2-3	3-4	2-3	2-3	2-3	2	3-4	2	4-5	2-3	1	0
7_4*	2	1	2-3	2	1	2-3	2	2	2	2	2	2	3-4	2-4
7_5	2	1	2-3	1	1	2-3	2	2	2	2	1	1	4	3-4
7_5*	2	3	2-3	4	3	2-3	3	2	4	2	5	3	2	2
7_6	1	1	1	2	1	2	2	2	2	2	2-3	1	3	2-3
7_6*	1	2	1	3	2	2	2	2	3	2	4	2	2	2
7_7	1	2	1	2-3	2	2	2	2	2-3	1-2	3-4	2	2-3	2
7_7*	1	1	1	2	2	2	2	2	2	1-2	3	2	2-3	2-3
3_1 # 4_1	2	1	1	1-2	1-2	2	2	2	2	2	2-3	2-3	3-4	2-4
3_1* # 4_1	2	2-3	1	3-4	2-3	2	2	2	3-4	2	4-5	2-3	1-3	1-2
8_1	1	2	2	2-3	2	1	2	2	2-3	2-3	3-4	2	2-3	2-3
8_1*	1	2	2	2-3	2	2	2	2	2-3	2-3	3-4	2	2-3	2-3
8_2	2	1	2	1	2	2	1	2	2	2	2	2-3	4	3-4
8_2*	2	3	2	4	3	2-3	3	2	4	2	5	3	2	2
8_3	2	2-3	2	2-4	2-3	1	2	2-3	2-4	2-4	3-5	2-3	2-4	2-4
8_4	2	2	1	2-3	2-3	2	1	2-3	2-3	2-3	2-4	2-3	3-4	2-4
8_4*	2	2-3	1	3-4	2-3	1	2	2-3	3-4	2-3	4-5	2-3	2-4	2-3
8_5	2	3	2	4	3	2-3	3	2-3	4	2-3	5	3	1-4	2-3
8_5*	2	1-2	2	2-3	1-3	2	1	2-3	1	2-3	1-4	1-3	4	3-4
8_6	2	1	2	2	2	1	1	2	2	2	2-3	2-3	3-4	2-4
8_6*	2	2-3	2	3-4	2-3	2	2-3	2	3-4	2	4-5	2-3	2-3	2
8_7	1	2	2	3	2	2	2	1	3	2	4	2	2	2
8_7*	1	1	2	1	2	2	2	1	2	2	2	2	3	2-3
8_8	2	1	2-3	2	2	2-3	2	1	2	2	3	2-3	2	2
8_8*	2	1	2-3	2	1	2-3	2	1	2	2	3	2	2-3	2
8_9	1	2	2	2-3	2	2	1	2	2-3	2-3	3-4	2	2-3	2-3
