K	7_5	7_6	7_7	3_1 # 4_1	8_1	8_2	8_3	8_4	8_5	8_6	8_7	8_8	8_9	8_10	8_11
4_1 # 5_1	2	2-3	2-3	1-3	2-4	2	2-4	2-3	4	2-3	3-4	2-3	2-4	3-4	2-3
4_1 # 5_1*	4-5	3	2-3	3	2-4	4	2-4	3	2-4	3-4	2	2-3	2-4	2	3-4
4_1 # 5_2	2	2	2	1-2	1-3	2-3	1-3	2	3	1-3	2-3	2-3	2-3	2-4	1-2
4_1 # 5_2*	3-4	2	2	2	1-3	3	1-3	2	2-3	2-3	1-3	2	2-3	1-2	2-3
10_1	2-3	2	2	1-3	1	2-3	2	2-3	2-3	2	2	2-3	2	2-3	2
10_1*	2-3	2	2	1-3	2	2-3	2	2-3	2-3	2-3	2	2-3	2	2-3	2
10_2	2	2-3	3-4	2-3	3	1	3-4	2-3	5	2	4	3	3	4	2
10_2*	5	4	3	4	3-4	5	3-4	4	1-3	4-5	2	3	3	2	4
10_3	2-4	2-3	2-3	2-4	1	2-3	1	2	2-4	2	2-3	2-4	2-3	1-4	2
10_3*	2-4	2-3	2-3	2-4	2	2-4	1	2	2-4	2-3	2-3	2-4	2-3	1-4	2-3
10_4	2-4	2-3	2-3	2-3	2-3	2-3	2	1	3	2	2-3	2-4	2	2-4	2-3
10_4*	3-4	2-3	2-3	2-3	1	3	2	2-3	2-3	2	2-3	2-4	2	1-4	2
10_5	4	3	2	3-4	2-3	4	2-4	3-4	1-3	3-4	1	2	2-3	1-2	3
10_5*	2	2	2-3	1-2	2-3	2	2-4	2-3	4	2	3	2	2-3	3	2-3
10_6	2	2-3	2-4	1-3	2	1	2-3	2	4-5	1	3-4	2-3	2-3	3-4	2
10_6*	4-5	3-4	2-3	3-4	2-4	4-5	2-3	3	2-3	3-4	2	2-3	2-3	2	3-4
10_7	2	2	2	1-3	1	2	2	2-3	3	2	2	2-3	2	2-3	1
10_7*	3	2	2	2-3	2	3	2	2-3	1-3	2-3	2	2-3	2	1-3	2
10_8	2-3	2-3	2-3	2-3	2-3	1	2	1	4	2	3	2-3	2	3-4	2
10_8*	4	3	2-3	3	2-3	4	2	3	1-2	3	2-3	2-3	2	1-3	3
10_9	3	2	2	2-3	2	3	2-3	2	2-3	2-3	2	2	1	1-3	2
10_9*	2	2	2	2	2	1	2-3	2	3	2	2	2	1	2-3	2
10_10	2-3	2	2	2	2	2-3	2	2	2-3	2-3	2	2-3	2	2-3	2
10_10*	2	2	2	2	2	2-3	2	2	2-3	2	2	2-3	2	2-3	2
10_11	2-3	2-3	2-3	1-3	2	2	1	1	3-4	1	2-4	2-3	2	2-4	2-3
10_11*	3-5	2-3	2-3	2-3	2	3-4	1	2	1-3	2-3	2-3	2-3	2	1-4	2-3
10_12	3	2-3	2-3	2-3	2-3	3	2-4	2-4	1-4	2-3	1	1	2-3	1-2	2-3
10_12*	2	2-3	2-3	1-3	2-3	2	2-4	2-4	3-4	2-3	2-3	2	2-3	2-3	2-3
10_13*	2-4	2-3	2-3	1-3	1	2-3	1	2	2-4	2	2-3	2-4	2-3	2-4	2
10_13	2-4	2-3	2-3	1-3	2	2-4	1	2	2-3	2-3	2-3	2-4	2-3	2-4	2-3
10_14	2	2	2-3	1-2	2-3	1	2-4	2-3	4	2	3	2	2-3	3	2
10_14*	4	3	2	3	2-3	4	2-4	3	1-3	3-4	2	2	2-3	1-2	3
10_15	3	2-3	2-3	2-3	2-3	3	2-4	2-4	1-4	2-3	1	2	2-3	1-2	2-3
10_15*	2	2-3	2-3	1-3	2-3	2	2-4	2-4	3-4	2-3	2	1	2-3	2	2-3
10_16	3-4	2-3	2-3	2-3	2	3-4	1	2	1-3	2-3	2-3	2-3	2	1-3	2-3
10_16*	2-3	2-3	2-3	1-3	2	2	1	1	3-4	2	2-3	2-4	2	2-4	1
10_17	2-3	2	2	2-3	2	2-3	2-3	2-3	2-3	2-3	1	2	2	2-3	2
10_18	2-3	2	2	1-2	2	2	2	1	3	2	2	2-3	2	2-3	2
10_18*	3	2	2	2	2	3	2	2	1-3	2	2	2-3	2	2-3	2
10_19	2	2	2	2	2-3	2	2-3	2	3	2	2	2	2	2-3	2
10_198	3	2	2	2	2-3	3	2-3	2	2	2-3	1	2	2	1-3	2-3
10_20	2	2	2-3	1-2	1	2	2	2	3-4	1	2-3	2	2-3	2-3	2
10_20*	3-4	2-3	2	2-4	2-3	3-4	2	2-3	2-3	2-4	2	2	2-3	1-3	2-3
10_21	2	2	2-3	2-3	2	1	2-3	2-3	4	2	3	2-3	2-3	3-4	1
10_21*	4	3	2-3	3-4	2-3	4	2-3	3	2-3	3-4	2-3	2	2-3	1-2	3
10_22	2-4	2-3	2-3	2-3	2-3	2-3	2	1	2	2	2-3	2-3	1	1-4	2-3
10_22*	2-3	2-3	2-3	2-3	2	2	2	2	2-3	1	2-3	2-3	1	1-4	2
