K	3_1 # 5_2	3_1* # 5_2	4_1 # 4_1	9_1	9_2	9_3	9_4	9_5	9_6	9_7	9_8	9_9	9_10
10_23	3	1-3	2-3	5	2	2	3	2	4	3	2-3	4	2
10_23*	2	1-2	2-3	3	2	4	2	2-3	2-3	2-3	2-3	2	3-4
10_24	2	2	1-4	3-4	2-3	4-5	2-3	2-4	2-3	2-3	2-3	2-3	3-5
10_24*	3-4	2-3	1-4	5-6	2-3	2-3	3-4	2	4-5	3-4	2-3	4-5	2-3
10_25	2	2-3	2-4	2-3	2-3	5	2-3	3-4	2	2	2	2	4-5
10_25*	4	2	2-4	6	3	2-3	4	2-3	5	4	3	5	2-3
10_26	2-3	2-3	2	4-5	2	3-4	2-3	2-3	3-4	2-3	2	3-4	2-4
10_26*	2-3	2-3	2	4-5	2	3-4	2-3	2-3	3-4	2-3	2	3-4	2-4
10_27	3	2	2-3	5	2	2-3	3	2-3	4	3	2-3	4	2-3
10_27*	1-2	2-3	2-3	3	2	4	2-3	2-3	2	2	2	2	3-4
10_28	2-3	2-3	2-3	4-5	2-3	3	2-4	2	3-4	2-3	2-3	3-4	2
10_28*	2	2	2-3	4	2-3	3-5	2-3	2-4	3	2-3	2-3	3	2-4
10_29	2-3	2-4	2-3	3-5	2-3	4-5	2-4	2-4	2-4	2-3	2-3	2-4	3-5
10_29*	3-4	2-3	2-3	5-6	2-3	2-5	3-4	2-4	4-5	3-4	2	4-5	2-4
10_30	2	1-2	2-3	3-4	2	4	2-3	2-3	2-3	2-3	2-3	2-3	3-4
10_30*	3	1-3	2-3	5	2	2-3	3	2	4	3	2-3	4	2
10_31	2	1-3	2-3	4	2	3	2-3	2	3	2	2	3	2-3
10_31*	2	1-2	2-3	4	2	3-4	2-3	2-3	3	2-3	2-3	3	2-3
10_32	2	1-3	2-3	4	2	3-4	2-3	2-3	3	2	2	3	2-4
10_32*	2-3	1-2	2-3	4-5	2	3-4	2-3	2-3	3-4	2-3	2-3	3-4	2-3
10_33	2-3	2-3	1-3	4-5	2	3-4	2-3	2-3	3-4	2-3	2	3-4	2-4
10_34	2	1-3	2-4	4	2-3	3	2-4	2	3	2	2	3	2-3
10_34*	2	1-2	2-4	4	2	3-4	2	2-3	3	2	2-3	3	2-3
10_35	2-4	2-4	2	4-6	2-3	3-5	2-4	2-4	3-5	2-4	2	3-5	2-5
10_35*	2-4	2-4	2	4-6	2-3	3-5	2-4	2-4	3-5	2-4	2	3-5	2-5
10_36	2	2	2	3-4	2	4-5	2	2-4	2-3	2	2	2-3	3-5
10_36*	3-4	2	2	5-6	2-3	2-3	3-4	2	4-5	3-4	2	4-5	2-3
10_37	2	2	2-4	4	2-3	3	2-3	2	3	2-3	2-3	3	2-3
10_38	2	1-2	2-3	3-4	2-3	4-5	2-3	2-4	2-3	2-3	2-3	2-3	3-5
10_38*	3-4	1-3	2-3	5-6	2-3	2-3	3-4	2	4-5	3-4	2	4-5	2-3
10_39	1-2	2	2-3	2-3	2-3	5	2-3	3-4	2	2	2-3	2	4-5
10_39*	4	2-3	2-3	6	3	2-3	4	2	5	4	3	5	2-3
10_40	3	2	1-4	5	2-3	2-3	3-4	2	4	3	2-3	4	2-3
10_40*	2	2	1-4	3	2-3	4-5	2-3	2-4	2	2	2	2	3-4
10_41	1-3	2-3	2	3-5	2-3	4-5	2-3	2-4	2-4	2-3	2	2-4	3-5
10_41*	3-4	2-3	2	5-6	2-3	2-4	3-4	2-3	4-5	3-4	2	4-5	2-4
10_42	2-3	2-3	2	4-5	2	3-4	2-3	2-3	3-4	2-3	2	3-4	2-4
10_42*	2-3	2-3	2	4-5	2	3-4	2-3	2-3	3-4	2-3	2	3-4	2-4
10_43	2	2	2-3	4	2-3	3-4	2-3	2-3	3	2	2	3	2-3
10_44	2	1-3	2	3-4	2	4	2-3	2-3	2-3	2	2	2-3	3-4
10_44*	3	1-2	2	5	2	2-4	3	2-3	4	3	2	4	2-3
10_45	2-3	1-3	2	4-5	2-3	3-5	2-4	2-4	3-4	2-3	2	3-4	2-4
3_1 # 7_1	2	4	4-6	2	3-4	7	2-3	5-6	2	2-3	3-4	2	6-7
3_1* # 7_1*	6	4	4-6	8	5	2	6	3-4	7	6	5-6	7	2-3
3_1 # 7_1*	4	2-4	2-6	6	3-5	1-2	4-6	1-4	5	4	3-4	5	1-3
3_1* # 7_1	1-4	2	2-6	2	1-4	5-6	1-3	3-5	2	1-3	1-4	1-2	4-5
3_1 # 7_2	1	2-3	2-4	2-4	2	5	1-2	3-4	2-3	2	2	2-3	4-5
