K	8_12	8_13	8_14	8_15	8_16	8_17	8_18	8_19	8_20	8_21	3_1 # 5_1	3_1* # 5_1
8_10	2-4	2	2-3	3-4	2	1-3	1-3	2	1-2	2-3	4	2-4
8_10*	2-4	2	1-2	1-2	1-2	1-3	1-3	4	1-2	1-3	2	2
8_11	2	2	2	2	1-2	1-2	1-3	4	1-2	2	2-3	2-3
8_11*	2	2	2	3	2-3	1-2	1-3	2-3	1-2	2	4	2-4
8_12	0	2	2	2-4	1-2	2-3	1-4	3-5	1-3	2-3	3-5	2-5
8_13	2	0	2	2	1-2	2	1-3	3-4	1-2	2	3	2-3
8_13*	2	2	2	2-3	1-2	2	1-3	3	1-2	2	3-4	2-4
8_14	2	2	0	1-2	1-2	1-2	1-2	4	1-2	1-2	2-3	1-3
8_14*	2	2	2	3	2	1-2	1-2	2-3	1-2	2	4	2-3
8_15	2-4	2	1-2	0	1-2	2-3	2-3	5	2	1-2	2	2
8_15*	2-4	2-3	3	4	3-4	2-3	2-3	1-2	2-3	3	5	3-4
8_16	1-2	1-2	1-2	1-2	0	1-2	1-2	4	1-2	1-3	2-3	1-3
8_16*	1-2	1-2	2	3-4	2	1-2	1-2	2-3	1-2	2-3	4	2-3
8_17	2-3	2	1-2	2-3	1-2	0	1-2	3	1-2	1-2	3	2-3
8_17*	2-3	2	1-2	2-3	1-2	1-2	1-2	3	1-2	1-2	3	2-3
8_18	1-4	1-3	1-2	2-3	1-2	1-2	0	3	1-3	1-3	3	1-3
8_18*	1-4	1-3	1-2	2-3	1-2	1-2	1-2	3	1-3	1-3	3	1-3
8_19	3-5	3-4	4	5	4	3	3	0	3-4	4	6	4
8_19*	3-5	3	2-3	1-2	2-3	3	3	6	3	2	2	2
8_20	1-3	1-2	1-2	2	1-2	1-2	1-3	3-4	0	1-2	3	1-3
8_20*	1-3	1-2	1-2	2-3	1-2	1-2	1-3	3	1-2	1-2	3-4	1-4
8_21	2-3	2	1-2	1-2	1-3	1-2	1-3	4	1-2	0	2	1-4
8_21*	2-3	2	2	3	2-3	1-2	1-3	2	1-2	2	4	2-4
3_1 # 5_1	3-5	3	2-3	2	2-3	3	3	6	3	2	0	2
3_1* # 5_1*	3-5	3-4	4	5	4	3	3	2	3-4	4	6	4
3_1 # 5_1*	2-5	2-4	2-3	3-4	2-3	2-3	1-3	2	1-2	2-4	4	2-4
3_1* # 5_1	2-5	2-3	1-3	2	1-3	2-3	1-3	4	1-3	1-4	2	0
3_1 # 5_2	2-4	2	1-2	1-2	1-2	2	2	5	2	1-2	1	1-3
3_1* # 5_2*	2-4	2-3	3	4	3	2	2	1-2	2-3	3	5	3
3_1 # 5_2*	2-4	2-3	2	2-3	1-2	1-2	1-2	3	1-2	1-3	3	1-3
3_1* # 5_2	2-4	2	2	2	1-2	1-2	1-2	3	1-2	1-3	3	1
4_1 # 4_1	2	2	2	2-4	1-2	2-3	1-4	3-5	2-3	1-3	3-5	1-5
9_1	4-6	4	3-4	2-3	3-4	4	4	7	4	3-5	2-3	3
9_1*	4-6	4-5	5	6	5	4	4	2-3	4-5	5	7	5
9_2	2-3	2	2	2-3	1-3	2	1-3	4	1-2	1-2	2-4	1-4
9_2*	2-3	2	2	3	2-3	2	1-3	2-4	1-2	2	4	2-4
9_3	3-5	3-4	4	5	4-5	3-4	3-4	1-3	3-4	4	6	4-5
9_3*	3-5	3	2-3	1-3	2-3	3-4	3-4	6	3	2-4	1-3	2-3
9_4	2-4	2-3	2-3	1-3	1-3	2-3	2-4	5	2-3	1-3	1-3	1-3
9_4*	2-4	2-3	3	4	3-4	2-3	2-4	1-3	2-3	3	5	3-5
9_5	2-4	2-3	2-3	3-4	2-4	1-3	1-3	2-3	1-3	2-3	4-5	2-4
9_5*	2-4	2	2	1-2	1-2	1-3	1-3	4-5	1-2	1-3	2-3	2-3
9_6	3-5	3	2-3	2	2-3	3	3	6	3	2-4	2	2
9_6*	3-5	3-4	4	5	4	3	3	2	3-4	4	6	4
9_7	2-4	2-3	2	2-3	2	2	2	5	2-3	1-3	1-3	1-3
9_7*	2-4	2-3	3	4	3	2	2	1-3	2-3	3	5	3
9_8	2	2	2	1-3	1-2	1-2	1-2	4-5	1-3	1-3	2-3	1-3
