K	8_12	8_13	8_14	8_15	8_16	8_17	8_18	8_19	8_20	8_21	3_1 # 5_1	3_1* # 5_1
10_23	2-3	2	2	3	2-3	1-2	1-3	2-3	1-2	2	4	2-4
10_23*	2-3	1	2	1-2	1-2	1-2	1-3	4	1-2	1-2	2-3	1-3
10_24	2	2	2	1-2	1-2	1-3	1-3	4-5	2	1-3	2-3	1-3
10_24*	2	2-3	2-3	3-4	2-4	1-3	1-3	2-3	2-3	2-3	4-5	2-4
10_25	2-3	2-3	2	2-3	1-2	2	2	5	2-3	2-3	2-3	2-3
10_25*	2-3	2-3	3	4	3	2	2	1-3	2-3	3	5	3
10_26	2	2	2	2-3	2	2	1-3	3-4	1-2	1-2	3-4	1-4
10_26*	2	2	2	2-3	2	2	1-3	3-4	1-2	1-2	3-4	1-4
10_27	2-3	2	2	3	2-3	1-2	1-2	2-3	1-2	2	4	2-3
10_27*	2-3	1	2	1-3	1-2	1-2	1-2	4	1-2	1-2	2-3	1-3
10_28	2-3	2	2-3	2-4	2	1-3	2-3	3	1-2	1-3	3-4	2-4
10_28*	2-3	1	2	2	2	1-3	2-3	3-4	1-2	1-3	3	2-3
10_29	1	2-3	2	2-4	1-3	2-3	1-3	4-5	1-3	2	2-4	2-4
10_29*	1	2-3	2-3	3-4	2-3	2	1-3	2-4	1-3	2-3	4-5	2-4
10_30	2-3	2	1	1-2	1-2	1-2	1-3	4	1-2	1-2	2-3	2-3
10_30*	2-3	2	2	3	2-3	1-2	1-3	2-3	1-2	2	4	2-4
10_31	2-3	2	2	2-3	2	2	1-2	3	1-2	1-2	3	2-3
10_31*	2-3	1	2	2	2	2	1-2	3	1-2	1-2	3	2-3
10_32	2-3	2	1	2-3	2	2	1-2	3-4	1-2	1-2	3	1-3
10_32*	2-3	2	2	2-3	2	2	1-2	3	1-2	1-2	3-4	1-3
10_33	2	1	2	2-3	1-3	2	2-3	3-4	1-2	2	3-4	2-4
10_34	2-4	2-3	2	2-3	2	1-2	2	3	1-3	2-3	3	2-3
10_34*	2-4	2	2	2	2	1-2	2	3	1-2	2-3	3	2-3
10_35	1	2	2	2-4	2	1-3	1-4	3-5	1-3	1-3	3-5	1-5
10_35*	1	2	2	2-4	2	1-3	1-4	3-5	1-3	1-3	3-5	1-5
10_36	2	2	1	2	2	1-2	1-2	4-5	2	2-3	2-3	2-3
10_36*	2	2	2	3-4	2	1-2	1-2	2-3	2-3	2-3	4-5	2-3
10_37	2-4	2	2	2	2	1-3	2-3	3	1-2	1-3	3	2-3
10_38	2	2	1	1-2	1-2	1-3	1-3	4-5	1-2	1-2	2-3	1-3
10_38*	2	2-3	2-3	3-4	2-3	1-2	1-3	2-3	1-3	2-3	4-5	2-4
10_39	2-3	2	1	1-2	1-2	2-3	2-3	5	2	2	2-3	2-3
10_39*	2-3	2-3	3	4	3	2	2-3	2-3	2-3	3	5	3-4
10_40	2-4	2	2-3	3-4	2	1-2	2	2-3	2	2-3	4	2-3
10_40*	2-4	2	2	1-2	2	1-2	2	4	2	2-3	2-3	2-3
10_41	1	2	2	1-3	1-2	1-3	1-3	4-5	1-3	1-2	2-4	1-4
10_41*	1	2	2	3-4	2	1-2	1-3	2-4	1-3	2-3	4-5	2-4
10_42	2	2	2	2-3	1-2	1-2	1-3	3-4	1-2	2	3-4	2-4
10_42*	2	1	2	2-3	1-2	1-2	1-3	3-4	1-2	2	3-4	2-4
10_43	2-3	2-3	2	2-3	1-2	1-2	2	3	1-3	2-3	3	2-3
10_44	2	2	1	1-3	1-2	1-2	1-2	4	1-2	1-2	2-3	1-3
10_44*	2	2	2	3	2	1-2	1-2	2-3	1-2	2	4	2-3
10_45	2	2	2	2-4	2	2	1-3	3-4	1-3	2	3-4	2-4
3_1 # 7_1	4-6	4	3-4	2-3	3-4	4	4	7	4	3	1	3
3_1* # 7_1*	4-6	4-5	5	6	5	4	4	1-3	4-5	5	7	5
3_1 # 7_1*	2-6	2-5	3-4	4-5	3-4	2-4	2-4	1-3	2-3	3-5	5	3-5
3_1* # 7_1	2-6	2-4	1-4	1-3	1-4	2-4	2-4	5	2-4	1-5	1-3	1
3_1 # 7_2	2-4	2-3	2	1-3	2	2	2	5	2-3	1-3	2	2-3
